pcode,상품명,URL,상품이미지,최저가,최고가,가격추이,상세정보
20834387,베이블퓨어리 트라이크 유모차 T2 (일반) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=20834387&cate=16249192,https://img.danawa.com/prod_img/500000/387/834/img/20834387_1.jpg?shrink=330:*&_v=20250415142027,53400,204170,"{""1"": [{""label"": ""25.10.21"", ""price"": 52260}, {""label"": ""25.10.28"", ""price"": 52260}, {""label"": ""25.11.04"", ""price"": 49190}, {""label"": ""25.11.11"", ""price"": 50700}, {""label"": ""현재"", ""price"": 53400}], ""3"": [{""label"": ""08.26"", ""price"": 53400}, {""label"": ""09.02"", ""price"": 53400}, {""label"": ""09.09"", ""price"": 53400}, {""label"": ""09.16"", ""price"": 53400}, {""label"": ""09.23"", ""price"": 52260}, {""label"": ""09.30"", ""price"": 52260}, {""label"": ""10.07"", ""price"": 52260}, {""label"": ""10.14"", ""price"": 52260}, {""label"": ""10.21"", ""price"": 52260}, {""label"": ""10.28"", ""price"": 52260}, {""label"": ""11.04"", ""price"": 49190}, {""label"": ""11.11"", ""price"": 50700}, {""label"": ""현재"", ""price"": 53400}], ""6"": [{""label"": ""25.06"", ""price"": 23840}, {""label"": ""25.07"", ""price"": 24540}, {""label"": ""25.08"", ""price"": 24540}, {""label"": ""25.09"", ""price"": 52260}, {""label"": ""25.10"", ""price"": 52260}, {""label"": ""25.11"", ""price"": 49190}, {""label"": ""현재"", ""price"": 53400}], ""12"": [{""label"": ""24.12"", ""price"": 52900}, {""label"": ""25.01"", ""price"": 53400}, {""label"": ""25.02"", ""price"": 53400}, {""label"": ""25.03"", ""price"": 45380}, {""label"": ""25.04"", ""price"": 23740}, {""label"": ""25.05"", ""price"": 24140}, {""label"": ""25.06"", ""price"": 23840}, {""label"": ""25.07"", ""price"": 24540}, {""label"": ""25.08"", ""price"": 24540}, {""label"": ""25.09"", ""price"": 52260}, {""label"": ""25.10"", ""price"": 52260}, {""label"": ""25.11"", ""price"": 49190}, {""label"": ""현재"", ""price"": 53400}], ""24"": [{""label"": ""24.01"", ""price"": 44820}, {""label"": ""24.02"", ""price"": 44070}, {""label"": ""24.03"", ""price"": 44070}, {""label"": ""24.04"", ""price"": 42680}, {""label"": ""24.05"", ""price"": 44820}, {""label"": ""24.06"", ""price"": 44820}, {""label"": ""24.07"", ""price"": 41190}, {""label"": ""24.08"", ""price"": 52900}, {""label"": ""24.09"", ""price"": 47200}, {""label"": ""24.10"", ""price"": 52900}, {""label"": ""24.11"", ""price"": 52900}, {""label"": ""24.12"", ""price"": 52900}, {""label"": ""25.01"", ""price"": 53400}, {""label"": ""25.02"", ""price"": 53400}, {""label"": ""25.03"", ""price"": 45380}, {""label"": ""25.04"", ""price"": 23740}, {""label"": ""25.05"", ""price"": 24140}, {""label"": ""25.06"", ""price"": 23840}, {""label"": ""25.07"", ""price"": 24540}, {""label"": ""25.08"", ""price"": 24540}, {""label"": ""25.09"", ""price"": 52260}, {""label"": ""25.10"", ""price"": 52260}, {""label"": ""25.11"", ""price"": 49190}, {""label"": ""현재"", ""price"": 53400}]}","제조회사:베이블퓨어리/대상연령:3세부터/허용무게:30kg까지/중량:3.7kg/인증:적합성평가인증,안전확인인증/등록년월일:2022년 05월"
75941156,스토케 요요3 프리미엄 휴대용 유모차 (색상선택) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=75941156&cate=16249192,https://img.danawa.com/prod_img/500000/156/941/img/75941156_1.jpg?shrink=330:*&_v=20250415141903,716000,716000,"{""1"": [{""label"": ""25.10.21"", ""price"": 716000}, {""label"": ""25.10.28"", ""price"": 716000}, {""label"": ""25.11.04"", ""price"": 716000}, {""label"": ""25.11.11"", ""price"": 716000}, {""label"": ""현재"", ""price"": 716000}], ""3"": [{""label"": ""08.26"", ""price"": 716000}, {""label"": ""09.02"", ""price"": 706000}, {""label"": ""09.09"", ""price"": 706000}, {""label"": ""09.16"", ""price"": 716000}, {""label"": ""09.23"", ""price"": 716000}, {""label"": ""09.30"", ""price"": 716000}, {""label"": ""10.07"", ""price"": 716000}, {""label"": ""10.14"", ""price"": 716000}, {""label"": ""10.21"", ""price"": 716000}, {""label"": ""10.28"", ""price"": 716000}, {""label"": ""11.04"", ""price"": 716000}, {""label"": ""11.11"", ""price"": 716000}, {""label"": ""현재"", ""price"": 716000}], ""6"": [{""label"": ""25.06"", ""price"": 716000}, {""label"": ""25.07"", ""price"": 716000}, {""label"": ""25.08"", ""price"": 716000}, {""label"": ""25.09"", ""price"": 706000}, {""label"": ""25.10"", ""price"": 716000}, {""label"": ""25.11"", ""price"": 716000}, {""label"": ""현재"", ""price"": 716000}], ""12"": [{""label"": ""25.02"", ""price"": 716000}, {""label"": ""25.03"", ""price"": 716000}, {""label"": ""25.04"", ""price"": 716000}, {""label"": ""25.05"", ""price"": 716000}, {""label"": ""25.06"", ""price"": 716000}, {""label"": ""25.07"", ""price"": 716000}, {""label"": ""25.08"", ""price"": 716000}, {""label"": ""25.09"", ""price"": 706000}, {""label"": ""25.10"", ""price"": 716000}, {""label"": ""25.11"", ""price"": 716000}, {""label"": ""현재"", ""price"": 716000}]}","제조회사:스토케 (/대상연령:6개월~36개월/허용무게:~15kg까지/중량:6.2kg/인증:적합성평가인증,안전확인인증/등록년월일:2025년 02월"
26489594,부가부 드래곤플라이 (블랙 섀시) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=26489594&cate=16249192,https://img.danawa.com/prod_img/500000/594/489/img/26489594_1.jpg?shrink=330:*&_v=20250415141657,1406000,1480000,"{""1"": [{""label"": ""25.10.21"", ""price"": 1406000}, {""label"": ""25.10.28"", ""price"": 1406000}, {""label"": ""25.11.04"", ""price"": 1406000}, {""label"": ""25.11.11"", ""price"": 1406000}, {""label"": ""현재"", ""price"": 1406000}], ""3"": [{""label"": ""08.26"", ""price"": 1406000}, {""label"": ""09.02"", ""price"": 1406000}, {""label"": ""09.09"", ""price"": 1406000}, {""label"": ""09.16"", ""price"": 1406000}, {""label"": ""09.23"", ""price"": 1406000}, {""label"": ""09.30"", ""price"": 1406000}, {""label"": ""10.07"", ""price"": 1406000}, {""label"": ""10.14"", ""price"": 1406000}, {""label"": ""10.21"", ""price"": 1406000}, {""label"": ""10.28"", ""price"": 1406000}, {""label"": ""11.04"", ""price"": 1406000}, {""label"": ""11.11"", ""price"": 1406000}, {""label"": ""현재"", ""price"": 1406000}], ""6"": [{""label"": ""25.06"", ""price"": 1405000}, {""label"": ""25.07"", ""price"": 1406000}, {""label"": ""25.08"", ""price"": 1332000}, {""label"": ""25.09"", ""price"": 1406000}, {""label"": ""25.10"", ""price"": 1406000}, {""label"": ""25.11"", ""price"": 1406000}, {""label"": ""현재"", ""price"": 1406000}], ""12"": [{""label"": ""24.12"", ""price"": 1330000}, {""label"": ""25.01"", ""price"": 1330000}, {""label"": ""25.02"", ""price"": 1259000}, {""label"": ""25.03"", ""price"": 1330000}, {""label"": ""25.04"", ""price"": 1406000}, {""label"": ""25.05"", ""price"": 1405000}, {""label"": ""25.06"", ""price"": 1405000}, {""label"": ""25.07"", ""price"": 1406000}, {""label"": ""25.08"", ""price"": 1332000}, {""label"": ""25.09"", ""price"": 1406000}, {""label"": ""25.10"", ""price"": 1406000}, {""label"": ""25.11"", ""price"": 1406000}, {""label"": ""현재"", ""price"": 1406000}], ""24"": [{""label"": ""24.01"", ""price"": 1330000}, {""label"": ""24.02"", ""price"": 1260000}, {""label"": ""24.03"", ""price"": 1330000}, {""label"": ""24.04"", ""price"": 1330000}, {""label"": ""24.05"", ""price"": 1263500}, {""label"": ""24.06"", ""price"": 1330000}, {""label"": ""24.07"", ""price"": 1330000}, {""label"": ""24.08"", ""price"": 1330000}, {""label"": ""24.09"", ""price"": 1329000}, {""label"": ""24.10"", ""price"": 1259000}, {""label"": ""24.11"", ""price"": 1330000}, {""label"": ""24.12"", ""price"": 1330000}, {""label"": ""25.01"", ""price"": 1330000}, {""label"": ""25.02"", ""price"": 1259000}, {""label"": ""25.03"", ""price"": 1330000}, {""label"": ""25.04"", ""price"": 1406000}, {""label"": ""25.05"", ""price"": 1405000}, {""label"": ""25.06"", ""price"": 1405000}, {""label"": ""25.07"", ""price"": 1406000}, {""label"": ""25.08"", ""price"": 1332000}, {""label"": ""25.09"", ""price"": 1406000}, {""label"": ""25.10"", ""price"": 1406000}, {""label"": ""25.11"", ""price"": 1406000}, {""label"": ""현재"", ""price"": 1406000}]}","제조회사:부가부 (/대상연령:신생아~48개월/허용무게:~22kg/중량:7.9kg/인증:적합성평가인증,안전확인인증/등록년월일:2023년 05월"
77466401,리안 리안 프라임 맥스 오토폴딩 휴대용 유모차 (색상선택) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=77466401&cate=16249192,https://img.danawa.com/prod_img/500000/401/466/img/77466401_1.jpg?shrink=330:*&_v=20250415141640,348000,478000,"{""1"": [{""label"": ""25.10.21"", ""price"": 326000}, {""label"": ""25.10.28"", ""price"": 348000}, {""label"": ""25.11.04"", ""price"": 306240}, {""label"": ""25.11.11"", ""price"": 306240}, {""label"": ""현재"", ""price"": 348000}], ""3"": [{""label"": ""08.26"", ""price"": 326000}, {""label"": ""09.02"", ""price"": 326000}, {""label"": ""09.09"", ""price"": 326000}, {""label"": ""09.16"", ""price"": 228000}, {""label"": ""09.23"", ""price"": 228000}, {""label"": ""09.30"", ""price"": 228000}, {""label"": ""10.07"", ""price"": 326000}, {""label"": ""10.14"", ""price"": 326000}, {""label"": ""10.21"", ""price"": 326000}, {""label"": ""10.28"", ""price"": 348000}, {""label"": ""11.04"", ""price"": 306240}, {""label"": ""11.11"", ""price"": 306240}, {""label"": ""현재"", ""price"": 348000}], ""6"": [{""label"": ""25.06"", ""price"": 326000}, {""label"": ""25.07"", ""price"": 326000}, {""label"": ""25.08"", ""price"": 326000}, {""label"": ""25.09"", ""price"": 228000}, {""label"": ""25.10"", ""price"": 326000}, {""label"": ""25.11"", ""price"": 306240}, {""label"": ""현재"", ""price"": 348000}], ""12"": [{""label"": ""25.03"", ""price"": 228000}, {""label"": ""25.04"", ""price"": 209760}, {""label"": ""25.05"", ""price"": 326000}, {""label"": ""25.06"", ""price"": 326000}, {""label"": ""25.07"", ""price"": 326000}, {""label"": ""25.08"", ""price"": 326000}, {""label"": ""25.09"", ""price"": 228000}, {""label"": ""25.10"", ""price"": 326000}, {""label"": ""25.11"", ""price"": 306240}, {""label"": ""현재"", ""price"": 348000}]}","제조회사:리안 (/대상연령:0~36개월/허용무게:~15kg/중량:6.9kg/인증:적합성평가인증,안전확인인증/등록년월일:2025년 03월"
42212519,부가부 버터플라이 휴대용 유모차 (범퍼바 포함) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=42212519&cate=16249192,https://img.danawa.com/prod_img/500000/519/212/img/42212519_1.jpg?shrink=330:*&_v=20250415141817,826500,1270980,"{""1"": [{""label"": ""25.10.21"", ""price"": 826500}, {""label"": ""25.10.28"", ""price"": 826500}, {""label"": ""25.11.04"", ""price"": 826500}, {""label"": ""25.11.11"", ""price"": 826500}, {""label"": ""현재"", ""price"": 826500}], ""3"": [{""label"": ""08.26"", ""price"": 826500}, {""label"": ""09.02"", ""price"": 826500}, {""label"": ""09.09"", ""price"": 826500}, {""label"": ""09.16"", ""price"": 826500}, {""label"": ""09.23"", ""price"": 826500}, {""label"": ""09.30"", ""price"": 826500}, {""label"": ""10.07"", ""price"": 826500}, {""label"": ""10.14"", ""price"": 826500}, {""label"": ""10.21"", ""price"": 826500}, {""label"": ""10.28"", ""price"": 826500}, {""label"": ""11.04"", ""price"": 826500}, {""label"": ""11.11"", ""price"": 826500}, {""label"": ""현재"", ""price"": 826500}], ""6"": [{""label"": ""25.06"", ""price"": 796500}, {""label"": ""25.07"", ""price"": 805500}, {""label"": ""25.08"", ""price"": 805500}, {""label"": ""25.09"", ""price"": 826500}, {""label"": ""25.10"", ""price"": 826500}, {""label"": ""25.11"", ""price"": 826500}, {""label"": ""현재"", ""price"": 826500}], ""12"": [{""label"": ""24.12"", ""price"": 796500}, {""label"": ""25.01"", ""price"": 776500}, {""label"": ""25.02"", ""price"": 733000}, {""label"": ""25.03"", ""price"": 796500}, {""label"": ""25.04"", ""price"": 709500}, {""label"": ""25.05"", ""price"": 796500}, {""label"": ""25.06"", ""price"": 796500}, {""label"": ""25.07"", ""price"": 805500}, {""label"": ""25.08"", ""price"": 805500}, {""label"": ""25.09"", ""price"": 826500}, {""label"": ""25.10"", ""price"": 826500}, {""label"": ""25.11"", ""price"": 826500}, {""label"": ""현재"", ""price"": 826500}], ""24"": [{""label"": ""24.03"", ""price"": 826500}, {""label"": ""24.04"", ""price"": 826500}, {""label"": ""24.05"", ""price"": 776500}, {""label"": ""24.06"", ""price"": 826500}, {""label"": ""24.07"", ""price"": 796500}, {""label"": ""24.08"", ""price"": 796500}, {""label"": ""24.09"", ""price"": 796500}, {""label"": ""24.10"", ""price"": 733000}, {""label"": ""24.11"", ""price"": 796500}, {""label"": ""24.12"", ""price"": 796500}, {""label"": ""25.01"", ""price"": 776500}, {""label"": ""25.02"", ""price"": 733000}, {""label"": ""25.03"", ""price"": 796500}, {""label"": ""25.04"", ""price"": 709500}, {""label"": ""25.05"", ""price"": 796500}, {""label"": ""25.06"", ""price"": 796500}, {""label"": ""25.07"", ""price"": 805500}, {""label"": ""25.08"", ""price"": 805500}, {""label"": ""25.09"", ""price"": 826500}, {""label"": ""25.10"", ""price"": 826500}, {""label"": ""25.11"", ""price"": 826500}, {""label"": ""현재"", ""price"": 826500}]}","제조회사:부가부 (/대상연령:6~48개월/허용무게:~22kg/중량:7.3kg/인증:적합성평가인증,안전확인인증/등록년월일:2024년 03월"
20799044,리안 그램플러스 기내반입형 휴대용 유모차 (바닐라베이지) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=20799044&cate=16249192,https://img.danawa.com/prod_img/500000/044/799/img/20799044_1.jpg?shrink=330:*&_v=20250415141934,290000,499000,"{""1"": [{""label"": ""25.10.21"", ""price"": 290000}, {""label"": ""25.10.28"", ""price"": 290000}, {""label"": ""25.11.04"", ""price"": 237600}, {""label"": ""25.11.11"", ""price"": 237600}, {""label"": ""현재"", ""price"": 290000}], ""3"": [{""label"": ""08.26"", ""price"": 290000}, {""label"": ""09.02"", ""price"": 290000}, {""label"": ""09.09"", ""price"": 290000}, {""label"": ""09.16"", ""price"": 290000}, {""label"": ""09.23"", ""price"": 290000}, {""label"": ""09.30"", ""price"": 290000}, {""label"": ""10.07"", ""price"": 260000}, {""label"": ""10.14"", ""price"": 270000}, {""label"": ""10.21"", ""price"": 290000}, {""label"": ""10.28"", ""price"": 290000}, {""label"": ""11.04"", ""price"": 237600}, {""label"": ""11.11"", ""price"": 237600}, {""label"": ""현재"", ""price"": 290000}], ""6"": [{""label"": ""25.06"", ""price"": 290000}, {""label"": ""25.07"", ""price"": 280000}, {""label"": ""25.08"", ""price"": 280000}, {""label"": ""25.09"", ""price"": 290000}, {""label"": ""25.10"", ""price"": 260000}, {""label"": ""25.11"", ""price"": 237600}, {""label"": ""현재"", ""price"": 290000}], ""12"": [{""label"": ""24.12"", ""price"": 284000}, {""label"": ""25.01"", ""price"": 261280}, {""label"": ""25.02"", ""price"": 261280}, {""label"": ""25.03"", ""price"": 284200}, {""label"": ""25.04"", ""price"": 266800}, {""label"": ""25.05"", ""price"": 280000}, {""label"": ""25.06"", ""price"": 290000}, {""label"": ""25.07"", ""price"": 280000}, {""label"": ""25.08"", ""price"": 280000}, {""label"": ""25.09"", ""price"": 290000}, {""label"": ""25.10"", ""price"": 260000}, {""label"": ""25.11"", ""price"": 237600}, {""label"": ""현재"", ""price"": 290000}], ""24"": [{""label"": ""24.01"", ""price"": 284000}, {""label"": ""24.02"", ""price"": 284000}, {""label"": ""24.03"", ""price"": 284000}, {""label"": ""24.04"", ""price"": 284000}, {""label"": ""24.05"", ""price"": 284000}, {""label"": ""24.06"", ""price"": 264120}, {""label"": ""24.07"", ""price"": 264120}, {""label"": ""24.08"", ""price"": 284000}, {""label"": ""24.09"", ""price"": 284000}, {""label"": ""24.10"", ""price"": 274000}, {""label"": ""24.11"", ""price"": 284000}, {""label"": ""24.12"", ""price"": 284000}, {""label"": ""25.01"", ""price"": 261280}, {""label"": ""25.02"", ""price"": 261280}, {""label"": ""25.03"", ""price"": 284200}, {""label"": ""25.04"", ""price"": 266800}, {""label"": ""25.05"", ""price"": 280000}, {""label"": ""25.06"", ""price"": 290000}, {""label"": ""25.07"", ""price"": 280000}, {""label"": ""25.08"", ""price"": 280000}, {""label"": ""25.09"", ""price"": 290000}, {""label"": ""25.10"", ""price"": 260000}, {""label"": ""25.11"", ""price"": 237600}, {""label"": ""현재"", ""price"": 290000}]}","제조회사:리안 (/대상연령:신생아~36개월/중량:5.8kg/인증:적합성평가인증,안전확인인증/등록년월일:2021년 03월"
76334630,다이치 타보 플렉스 탭3 (색상선택) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=76334630&cate=16249192,https://img.danawa.com/prod_img/500000/630/334/img/76334630_1.jpg?shrink=330:*&_v=20250415142044,315000,355020,"{""1"": [{""label"": ""25.10.21"", ""price"": 315000}, {""label"": ""25.10.28"", ""price"": 315000}, {""label"": ""25.11.04"", ""price"": 315000}, {""label"": ""25.11.11"", ""price"": 315000}, {""label"": ""현재"", ""price"": 315000}], ""3"": [{""label"": ""08.26"", ""price"": 315000}, {""label"": ""09.02"", ""price"": 315000}, {""label"": ""09.09"", ""price"": 315000}, {""label"": ""09.16"", ""price"": 315000}, {""label"": ""09.23"", ""price"": 315000}, {""label"": ""09.30"", ""price"": 315000}, {""label"": ""10.07"", ""price"": 315000}, {""label"": ""10.14"", ""price"": 315000}, {""label"": ""10.21"", ""price"": 315000}, {""label"": ""10.28"", ""price"": 315000}, {""label"": ""11.04"", ""price"": 315000}, {""label"": ""11.11"", ""price"": 315000}, {""label"": ""현재"", ""price"": 315000}], ""6"": [{""label"": ""25.06"", ""price"": 277000}, {""label"": ""25.07"", ""price"": 277000}, {""label"": ""25.08"", ""price"": 315000}, {""label"": ""25.09"", ""price"": 315000}, {""label"": ""25.10"", ""price"": 315000}, {""label"": ""25.11"", ""price"": 315000}, {""label"": ""현재"", ""price"": 315000}], ""12"": [{""label"": ""25.02"", ""price"": 315000}, {""label"": ""25.03"", ""price"": 298000}, {""label"": ""25.04"", ""price"": 277000}, {""label"": ""25.05"", ""price"": 276000}, {""label"": ""25.06"", ""price"": 277000}, {""label"": ""25.07"", ""price"": 277000}, {""label"": ""25.08"", ""price"": 315000}, {""label"": ""25.09"", ""price"": 315000}, {""label"": ""25.10"", ""price"": 315000}, {""label"": ""25.11"", ""price"": 315000}, {""label"": ""현재"", ""price"": 315000}]}","제조회사:다이치 (/대상연령:0~6세/허용무게:22kg/중량:6.9kg/인증:적합성평가인증,안전확인인증/등록년월일:2024년 03월"
29496857,싸이벡스 멜리오 카본 3.0 초경량 절충형 유모차 (색상선택) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=29496857&cate=16249192,https://img.danawa.com/prod_img/500000/857/496/img/29496857_1.jpg?shrink=330:*&_v=20250415141814,833500,960000,"{""1"": [{""label"": ""25.10.21"", ""price"": 883500}, {""label"": ""25.10.28"", ""price"": 814000}, {""label"": ""25.11.04"", ""price"": 814000}, {""label"": ""25.11.11"", ""price"": 864000}, {""label"": ""현재"", ""price"": 833500}], ""3"": [{""label"": ""08.26"", ""price"": 910000}, {""label"": ""09.02"", ""price"": 910000}, {""label"": ""09.09"", ""price"": 883500}, {""label"": ""09.16"", ""price"": 833500}, {""label"": ""09.23"", ""price"": 883500}, {""label"": ""09.30"", ""price"": 833500}, {""label"": ""10.07"", ""price"": 910000}, {""label"": ""10.14"", ""price"": 842800}, {""label"": ""10.21"", ""price"": 883500}, {""label"": ""10.28"", ""price"": 814000}, {""label"": ""11.04"", ""price"": 814000}, {""label"": ""11.11"", ""price"": 864000}, {""label"": ""현재"", ""price"": 833500}], ""6"": [{""label"": ""25.06"", ""price"": 910000}, {""label"": ""25.07"", ""price"": 833500}, {""label"": ""25.08"", ""price"": 862000}, {""label"": ""25.09"", ""price"": 833500}, {""label"": ""25.10"", ""price"": 814000}, {""label"": ""25.11"", ""price"": 814000}, {""label"": ""현재"", ""price"": 833500}], ""12"": [{""label"": ""24.12"", ""price"": 733000}, {""label"": ""25.01"", ""price"": 733000}, {""label"": ""25.02"", ""price"": 733000}, {""label"": ""25.03"", ""price"": 810000}, {""label"": ""25.04"", ""price"": 842800}, {""label"": ""25.05"", ""price"": 864000}, {""label"": ""25.06"", ""price"": 910000}, {""label"": ""25.07"", ""price"": 833500}, {""label"": ""25.08"", ""price"": 862000}, {""label"": ""25.09"", ""price"": 833500}, {""label"": ""25.10"", ""price"": 814000}, {""label"": ""25.11"", ""price"": 814000}, {""label"": ""현재"", ""price"": 833500}], ""24"": [{""label"": ""24.01"", ""price"": 730000}, {""label"": ""24.02"", ""price"": 730000}, {""label"": ""24.03"", ""price"": 730000}, {""label"": ""24.04"", ""price"": 730000}, {""label"": ""24.05"", ""price"": 730000}, {""label"": ""24.06"", ""price"": 730000}, {""label"": ""24.07"", ""price"": 730000}, {""label"": ""24.08"", ""price"": 730000}, {""label"": ""24.09"", ""price"": 730000}, {""label"": ""24.10"", ""price"": 703480}, {""label"": ""24.11"", ""price"": 729000}, {""label"": ""24.12"", ""price"": 729000}, {""label"": ""25.01"", ""price"": 733000}, {""label"": ""25.02"", ""price"": 733000}, {""label"": ""25.03"", ""price"": 810000}, {""label"": ""25.04"", ""price"": 842800}, {""label"": ""25.05"", ""price"": 864000}, {""label"": ""25.06"", ""price"": 910000}, {""label"": ""25.07"", ""price"": 833500}, {""label"": ""25.08"", ""price"": 862000}, {""label"": ""25.09"", ""price"": 833500}, {""label"": ""25.10"", ""price"": 814000}, {""label"": ""25.11"", ""price"": 814000}, {""label"": ""현재"", ""price"": 833500}]}","제조회사:싸이벡스 (/대상연령:신생아~48개월/허용무게:~15kg/중량:5.9kg/인증:적합성평가인증,안전확인인증/등록년월일:2023년 10월"
20795354,에어보스 2020 V90 오토폴딩 유모차 (색상선택) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=20795354&cate=16249192,https://img.danawa.com/prod_img/500000/354/795/img/20795354_1.jpg?shrink=330:*&_v=20250830045430,158000,158000,"{""1"": [{""label"": ""25.10.21"", ""price"": 158000}, {""label"": ""25.10.28"", ""price"": 158000}, {""label"": ""25.11.04"", ""price"": 157000}, {""label"": ""25.11.11"", ""price"": 158000}, {""label"": ""현재"", ""price"": 158000}], ""3"": [{""label"": ""08.26"", ""price"": 158000}, {""label"": ""09.02"", ""price"": 158000}, {""label"": ""09.09"", ""price"": 158000}, {""label"": ""09.16"", ""price"": 158000}, {""label"": ""09.23"", ""price"": 158000}, {""label"": ""09.30"", ""price"": 158000}, {""label"": ""10.07"", ""price"": 158000}, {""label"": ""10.14"", ""price"": 158000}, {""label"": ""10.21"", ""price"": 158000}, {""label"": ""10.28"", ""price"": 158000}, {""label"": ""11.04"", ""price"": 157000}, {""label"": ""11.11"", ""price"": 158000}, {""label"": ""현재"", ""price"": 158000}], ""6"": [{""label"": ""25.06"", ""price"": 158000}, {""label"": ""25.07"", ""price"": 158000}, {""label"": ""25.08"", ""price"": 158000}, {""label"": ""25.09"", ""price"": 158000}, {""label"": ""25.10"", ""price"": 158000}, {""label"": ""25.11"", ""price"": 157000}, {""label"": ""현재"", ""price"": 158000}], ""12"": [{""label"": ""24.12"", ""price"": 158000}, {""label"": ""25.01"", ""price"": 158000}, {""label"": ""25.02"", ""price"": 158000}, {""label"": ""25.03"", ""price"": 158000}, {""label"": ""25.04"", ""price"": 158000}, {""label"": ""25.05"", ""price"": 158000}, {""label"": ""25.06"", ""price"": 158000}, {""label"": ""25.07"", ""price"": 158000}, {""label"": ""25.08"", ""price"": 158000}, {""label"": ""25.09"", ""price"": 158000}, {""label"": ""25.10"", ""price"": 158000}, {""label"": ""25.11"", ""price"": 157000}, {""label"": ""현재"", ""price"": 158000}], ""24"": [{""label"": ""24.01"", ""price"": 158000}, {""label"": ""24.02"", ""price"": 158000}, {""label"": ""24.03"", ""price"": 156800}, {""label"": ""24.04"", ""price"": 156600}, {""label"": ""24.05"", ""price"": 158000}, {""label"": ""24.06"", ""price"": 158000}, {""label"": ""24.07"", ""price"": 158000}, {""label"": ""24.08"", ""price"": 158000}, {""label"": ""24.09"", ""price"": 157500}, {""label"": ""24.10"", ""price"": 158000}, {""label"": ""24.11"", ""price"": 158000}, {""label"": ""24.12"", ""price"": 158000}, {""label"": ""25.01"", ""price"": 158000}, {""label"": ""25.02"", ""price"": 158000}, {""label"": ""25.03"", ""price"": 158000}, {""label"": ""25.04"", ""price"": 158000}, {""label"": ""25.05"", ""price"": 158000}, {""label"": ""25.06"", ""price"": 158000}, {""label"": ""25.07"", ""price"": 158000}, {""label"": ""25.08"", ""price"": 158000}, {""label"": ""25.09"", ""price"": 158000}, {""label"": ""25.10"", ""price"": 158000}, {""label"": ""25.11"", ""price"": 157000}, {""label"": ""현재"", ""price"": 158000}]}","제조회사:에어보스 (/대상연령:신생아~48개월/중량:6.9kg/인증:적합성평가인증,안전확인인증/등록년월일:2020년 06월"
76514342,잉글레시나 잉글레시나 나우 원터치 오토폴딩 휴대용 유모차 (색상선택) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=76514342&cate=16249192,https://img.danawa.com/prod_img/500000/342/514/img/76514342_1.jpg?shrink=330:*&_v=20250415142041,545000,560000,"{""1"": [{""label"": ""25.10.21"", ""price"": 540000}, {""label"": ""25.10.28"", ""price"": 538000}, {""label"": ""25.11.04"", ""price"": 383000}, {""label"": ""25.11.11"", ""price"": 383000}, {""label"": ""현재"", ""price"": 545000}], ""3"": [{""label"": ""08.26"", ""price"": 540000}, {""label"": ""09.02"", ""price"": 540000}, {""label"": ""09.09"", ""price"": 538000}, {""label"": ""09.16"", ""price"": 538000}, {""label"": ""09.23"", ""price"": 540000}, {""label"": ""09.30"", ""price"": 540000}, {""label"": ""10.07"", ""price"": 538000}, {""label"": ""10.14"", ""price"": 540000}, {""label"": ""10.21"", ""price"": 540000}, {""label"": ""10.28"", ""price"": 538000}, {""label"": ""11.04"", ""price"": 383000}, {""label"": ""11.11"", ""price"": 383000}, {""label"": ""현재"", ""price"": 545000}], ""6"": [{""label"": ""25.06"", ""price"": 540000}, {""label"": ""25.07"", ""price"": 538000}, {""label"": ""25.08"", ""price"": 480000}, {""label"": ""25.09"", ""price"": 538000}, {""label"": ""25.10"", ""price"": 538000}, {""label"": ""25.11"", ""price"": 383000}, {""label"": ""현재"", ""price"": 545000}], ""12"": [{""label"": ""25.02"", ""price"": 539990}, {""label"": ""25.03"", ""price"": 515200}, {""label"": ""25.04"", ""price"": 430000}, {""label"": ""25.05"", ""price"": 538000}, {""label"": ""25.06"", ""price"": 540000}, {""label"": ""25.07"", ""price"": 538000}, {""label"": ""25.08"", ""price"": 480000}, {""label"": ""25.09"", ""price"": 538000}, {""label"": ""25.10"", ""price"": 538000}, {""label"": ""25.11"", ""price"": 383000}, {""label"": ""현재"", ""price"": 545000}]}","제조회사:잉글레시나 (/대상연령:0~36개월/허용무게:~15kg/중량:7.2kg/인증:적합성평가인증,안전확인인증/등록년월일:2025년 02월"
